en,zh,assigned_domain,confidence,neighbor_1,neighbor_2,neighbor_3,neighbor_4,neighbor_5,neighbor_6,neighbor_7,annotation
chargeable,應徵收的,civil,0.5714,patentable [civil] sim=0.795,tenantable [civil] sim=0.748,inadmissible [procedure] sim=0.701,unpatented [civil] sim=0.698,admissible [procedure] sim=0.698,patentability [civil] sim=0.695,battery [criminal] sim=0.687,
chargee,承押記人,civil,0.5714,pledgee [civil] sim=0.725,bailment [civil] sim=0.699,accused [criminal] sim=0.677,extortionate [criminal] sim=0.665,de son tort [civil] sim=0.662,indictment [criminal] sim=0.650,testate [civil] sim=0.647,
charge-holder,受押人,civil,0.5714,leaseholder [civil] sim=0.692,accessory [criminal] sim=0.666,beneficiary [civil] sim=0.665,guarantor [civil] sim=0.655,appurtenant [civil] sim=0.645,battery [criminal] sim=0.644,accused [criminal] sim=0.640,
charity,慈善組織,civil,0.5714,pledge [civil] sim=0.705,freedom [constitutional] sim=0.694,beneficiary [civil] sim=0.694,pledged [civil] sim=0.693,adoption [civil] sim=0.690,refugee [international] sim=0.682,employer [labor_social] sim=0.663,
chattel,實產,civil,0.5714,intestate [civil] sim=0.684,theft [criminal] sim=0.683,leased [civil] sim=0.666,extortionate [criminal] sim=0.659,testation [civil] sim=0.659,extortion [criminal] sim=0.656,inheritance [civil] sim=0.656,
chemically,化學特性不同,civil,0.5714,criminally [criminal] sim=0.741,patently [civil] sim=0.714,contractually [civil] sim=0.711,patentable [civil] sim=0.628,criminalise [criminal] sim=0.607,patented [civil] sim=0.606,laboratory [labor_social] sim=0.603,
circulate,使……流通,civil,0.5714,underlease [civil] sim=0.633,repledge [civil] sim=0.624,reconstitute [constitutional] sim=0.624,distort [civil] sim=0.621,constitute [constitutional] sim=0.621,beneficiary [civil] sim=0.620,labour [labor_social] sim=0.619,
citable,可引述,civil,0.5714,patentable [civil] sim=0.722,tenantable [civil] sim=0.714,admissible [procedure] sim=0.704,unpatented [civil] sim=0.689,inadmissible [procedure] sim=0.679,stateless [international] sim=0.666,mortgaged [civil] sim=0.656,
clearing system,指定結算及交收系統,civil,0.5714,dismissal [labor_social] sim=0.637,reconciliation [procedure] sim=0.621,unleased [civil] sim=0.616,restitutionary [civil] sim=0.613,surety [civil] sim=0.612,civil service [administrative] sim=0.612,restitution [civil] sim=0.607,
clerk,書記主任,civil,0.5714,employee [labor_social] sim=0.714,tenant [civil] sim=0.697,appurtenant [civil] sim=0.696,sitting tenant [civil] sim=0.677,testator [civil] sim=0.672,summons [procedure] sim=0.669,probationer [criminal] sim=0.661,
close proximity,貼近,civil,0.5714,nuisance [civil] sim=0.649,accessory [criminal] sim=0.647,co-tenant [civil] sim=0.626,inchoate [criminal] sim=0.624,inter vivos [civil] sim=0.622,trespass on the case [civil] sim=0.615,protocol [international] sim=0.613,
co-extensive,與……範圍相同,civil,0.5714,co-tenant [civil] sim=0.719,co-trustee [civil] sim=0.714,co-surety [civil] sim=0.708,comity [international] sim=0.697,co-accused [criminal] sim=0.679,multilateral [international] sim=0.653,inter vivos [civil] sim=0.627,
cognizable,可審理的,civil,0.5714,patentable [civil] sim=0.723,tenantable [civil] sim=0.696,admissible [procedure] sim=0.690,patentability [civil] sim=0.664,patently [civil] sim=0.639,comity [international] sim=0.637,admissibility [procedure] sim=0.636,
collate,整理,civil,0.5714,testate [civil] sim=0.682,Covenant [international] sim=0.677,covenant [international] sim=0.677,pledge [civil] sim=0.672,pledgee [civil] sim=0.671,interlocutory [procedure] sim=0.666,palimony [civil] sim=0.665,
collector,預定收集者,civil,0.5714,beneficiary [civil] sim=0.678,testator [civil] sim=0.671,trespasser [civil] sim=0.670,accessory [criminal] sim=0.666,envoy [international] sim=0.665,employee [labor_social] sim=0.654,fiduciary [civil] sim=0.653,
committed,被交付判處,civil,0.5714,pledged [civil] sim=0.837,pledge [civil] sim=0.788,covenant [international] sim=0.722,Covenant [international] sim=0.722,mortgaged [civil] sim=0.713,pledgee [civil] sim=0.701,accused [criminal] sim=0.699,
compare,將……與……對照,civil,0.5714,equality [constitutional] sim=0.677,valuable consideration [civil] sim=0.643,rejoinder [procedure] sim=0.639,appellate [procedure] sim=0.639,approbate and reprobate [civil] sim=0.630,underlease [civil] sim=0.625,past consideration [civil] sim=0.622,
compellable,可予強迫的證人,civil,0.5714,patentable [civil] sim=0.764,admissible [procedure] sim=0.763,admissibility [procedure] sim=0.730,tenantable [civil] sim=0.716,inadmissible [procedure] sim=0.705,patentability [civil] sim=0.702,contractually [civil] sim=0.695,
compensatable,可獲補償,civil,0.5714,patentable [civil] sim=0.751,admissible [procedure] sim=0.739,tenantable [civil] sim=0.712,distorted [civil] sim=0.689,admissibility [procedure] sim=0.683,distortion [civil] sim=0.682,accessory [criminal] sim=0.680,
competently,稱職地,civil,0.5714,contractually [civil] sim=0.726,patently [civil] sim=0.709,tenantable [civil] sim=0.682,criminally [criminal] sim=0.678,inadmissible [procedure] sim=0.666,admissible [procedure] sim=0.662,unpatented [civil] sim=0.647,
compound,了結,civil,0.5714,patent [civil] sim=0.687,distort [civil] sim=0.663,joinder [procedure] sim=0.660,extortionate [criminal] sim=0.658,contractual [civil] sim=0.655,accessory [criminal] sim=0.655,patented [civil] sim=0.650,
concern,關注團體,civil,0.5714,valuable consideration [civil] sim=0.722,in consideration of [civil] sim=0.722,sympathetic consideration [civil] sim=0.711,disclosure [procedure] sim=0.688,nuisance [civil] sim=0.677,gratification [international] sim=0.665,pleading [procedure] sim=0.660,
concession,慈善組織稅項寬減,civil,0.5714,indemnity [civil] sim=0.704,restitution [civil] sim=0.692,restitutionary [civil] sim=0.690,bribery [criminal] sim=0.683,admissibility [procedure] sim=0.682,veto [constitutional] sim=0.676,on indemnity basis [civil] sim=0.671,
conscientiously,衷誠,civil,0.5714,criminally [criminal] sim=0.693,patently [civil] sim=0.681,recklessness [criminal] sim=0.679,contractually [civil] sim=0.675,pledged [civil] sim=0.667,admissible [procedure] sim=0.637,tortious [civil] sim=0.628,
consequential,相應修訂,civil,0.5714,testamentary [civil] sim=0.690,contractually [civil] sim=0.688,conventional [international] sim=0.675,constitute [constitutional] sim=0.669,contractual [civil] sim=0.665,admissible [procedure] sim=0.658,tortious [civil] sim=0.658,
consolidated,合併控罪書,civil,0.5714,pledged [civil] sim=0.661,covenant [international] sim=0.642,Covenant [international] sim=0.642,mortgaged [civil] sim=0.639,ratification [international] sim=0.634,unleased [civil] sim=0.626,leased [civil] sim=0.623,
construct,興建,civil,0.5714,constitute [constitutional] sim=0.697,distort [civil] sim=0.695,reconstitute [constitutional] sim=0.670,contractual [civil] sim=0.666,extortionate [criminal] sim=0.644,testate [civil] sim=0.643,contractually [civil] sim=0.640,
consultancy,顧問酬金,civil,0.5714,innovation [civil] sim=0.653,contractual [civil] sim=0.650,employer [labor_social] sim=0.642,sympathetic consideration [civil] sim=0.636,valuable consideration [civil] sim=0.629,mediation [procedure] sim=0.628,labouring [labor_social] sim=0.626,
consumable,可耗燃料,civil,0.5714,patentable [civil] sim=0.703,accessory [criminal] sim=0.690,tenantable [civil] sim=0.666,admissible [procedure] sim=0.663,unpatented [civil] sim=0.662,battery [criminal] sim=0.645,beneficiary [civil] sim=0.641,
contained,圍封使用,civil,0.5714,unleased [civil] sim=0.675,admissible [procedure] sim=0.670,constitute [constitutional] sim=0.662,patented [civil] sim=0.657,disclosure [procedure] sim=0.654,distorted [civil] sim=0.648,mortgaged [civil] sim=0.644,
containerize,以貨櫃運載,civil,0.5714,tenantable [civil] sim=0.634,underlease [civil] sim=0.629,reconstitute [constitutional] sim=0.617,repledge [civil] sim=0.611,distort [civil] sim=0.609,joinder [procedure] sim=0.608,stratification [international] sim=0.603,
contemplate,考慮,civil,0.5714,valuable consideration [civil] sim=0.699,past consideration [civil] sim=0.694,in consideration of [civil] sim=0.687,sympathetic consideration [civil] sim=0.680,gratification [international] sim=0.671,reconstitute [constitutional] sim=0.642,conciliation [procedure] sim=0.639,
continue,繼續有效,civil,0.5714,rejoinder [procedure] sim=0.668,gratification [international] sim=0.655,constitute [constitutional] sim=0.652,pledge [civil] sim=0.647,succession [civil] sim=0.641,patently [civil] sim=0.633,live pledge [civil] sim=0.630,
continuity,連貫性,civil,0.5714,Covenant [international] sim=0.683,covenant [international] sim=0.683,succession [civil] sim=0.674,reconciliation [procedure] sim=0.674,surety [civil] sim=0.664,distortion [civil] sim=0.655,distorted [civil] sim=0.653,
continuous,連續性,civil,0.5714,distortion [civil] sim=0.650,distorted [civil] sim=0.647,conventional [international] sim=0.642,leased [civil] sim=0.637,patented [civil] sim=0.620,freedom [constitutional] sim=0.620,constitute [constitutional] sim=0.619,
contradiction,證據前後矛盾,civil,0.5714,unconstitutional [constitutional] sim=0.717,distorted [civil] sim=0.706,equality [constitutional] sim=0.676,distortion [civil] sim=0.674,distort [civil] sim=0.673,rejoinder [procedure] sim=0.666,misrepresentation [civil] sim=0.663,
contradictory,互相矛盾的,civil,0.5714,unconstitutional [constitutional] sim=0.707,distorted [civil] sim=0.701,rejoinder [procedure] sim=0.680,misrepresentation [civil] sim=0.656,distort [civil] sim=0.652,distortion [civil] sim=0.644,mispleading [procedure] sim=0.642,
contravening,如作出有關違例作為是為圖利目的,civil,0.5714,unconstitutional [constitutional] sim=0.749,trespass [civil] sim=0.706,trespasser [civil] sim=0.701,trespass on the case [civil] sim=0.694,forum non conveniens [international] sim=0.692,inadmissible [procedure] sim=0.690,nuisance [civil] sim=0.685,
contravention,違反,civil,0.5714,trespass [civil] sim=0.720,unconstitutional [constitutional] sim=0.703,subrogation [civil] sim=0.702,amendment [constitutional] sim=0.698,trespasser [civil] sim=0.697,extortion [criminal] sim=0.695,trespass quare clausum fregit [civil] sim=0.687,
convenience,作方便參考之用,civil,0.5714,accessory [criminal] sim=0.714,gratification [international] sim=0.703,without interruption by the landlord [civil] sim=0.674,tenantable [civil] sim=0.667,freedom [constitutional] sim=0.666,valuable consideration [civil] sim=0.662,nuisance [civil] sim=0.660,
co-ordinator,統籌人,civil,0.5714,co-trustee [civil] sim=0.702,co-tenant [civil] sim=0.701,appurtenant [civil] sim=0.680,employee [labor_social] sim=0.645,co-surety [civil] sim=0.644,administrative [administrative] sim=0.640,joinder [procedure] sim=0.629,
coroner,暫委死因裁判官,civil,0.5714,manslaughter [criminal] sim=0.730,homicide [criminal] sim=0.729,executor [civil] sim=0.676,appurtenant [civil] sim=0.664,murder [criminal] sim=0.664,executory [civil] sim=0.659,negligence [civil] sim=0.656,
cost-book company,以英式成本帳原則組成的公司,civil,0.5714,executorship expenses [civil] sim=0.585,employer [labor_social] sim=0.569,pre-contractual document [civil] sim=0.566,co-tenant [civil] sim=0.557,contractual [civil] sim=0.555,franchise [constitutional] sim=0.545,disclosure [procedure] sim=0.543,
creation,開立檔案,civil,0.5714,discovery [procedure] sim=0.758,innovation [civil] sim=0.686,adoption [civil] sim=0.667,patent [civil] sim=0.664,freedom [constitutional] sim=0.661,succession [civil] sim=0.660,gratification [international] sim=0.657,
cross-product,有效跨產品淨額結算協議,civil,0.5714,cross-examination [procedure] sim=0.684,distortion [civil] sim=0.636,patent [civil] sim=0.621,patented [civil] sim=0.616,equality [constitutional] sim=0.615,stratification [international] sim=0.612,distort [civil] sim=0.611,
curtail,削減,civil,0.5714,underlease [civil] sim=0.722,distort [civil] sim=0.714,unleased [civil] sim=0.680,disenfranchise [constitutional] sim=0.677,penalty [criminal] sim=0.675,distortion [civil] sim=0.674,veto [constitutional] sim=0.673,
custodial,監禁刑罰,civil,0.5714,imprisonment [criminal] sim=0.708,penal [criminal] sim=0.703,testamentary [civil] sim=0.692,legal custody [civil] sim=0.689,tortious [civil] sim=0.685,incarceration [criminal] sim=0.684,contractual [civil] sim=0.675,
customer,客戶盡職審查措施,civil,0.5714,employee [labor_social] sim=0.790,beneficiary [civil] sim=0.731,employer [labor_social] sim=0.728,tenant [civil] sim=0.719,co-tenant [civil] sim=0.704,franchisee [constitutional] sim=0.696,landlord [civil] sim=0.675,
damaged,破損,civil,0.5714,distorted [civil] sim=0.801,distortion [civil] sim=0.711,assault [criminal] sim=0.700,mortgaged [civil] sim=0.699,theft [criminal] sim=0.691,accused [criminal] sim=0.686,unpatented [civil] sim=0.684,
damaging,具損害性的披露,civil,0.5714,distorted [civil] sim=0.739,distortion [civil] sim=0.724,assault [criminal] sim=0.711,distort [civil] sim=0.708,torture [civil] sim=0.683,penalty [criminal] sim=0.676,recklessness [criminal] sim=0.673,
death-bed,臨終及殯殮費用,civil,0.5714,manslaughter [criminal] sim=0.654,homicide [criminal] sim=0.620,die intestate [civil] sim=0.618,murder [criminal] sim=0.603,succession [civil] sim=0.597,executory [civil] sim=0.587,torture [civil] sim=0.587,
decisive,對……具決定性,civil,0.5714,testamentary [civil] sim=0.671,electoral [constitutional] sim=0.663,sovereign [constitutional] sim=0.653,conviction [criminal] sim=0.652,pledged [civil] sim=0.650,unleased [civil] sim=0.646,intestate [civil] sim=0.643,
declarant,聲明人,civil,0.5714,testator [civil] sim=0.679,appurtenant [civil] sim=0.671,envoy [international] sim=0.662,prerogative [constitutional] sim=0.655,fiduciary [civil] sim=0.649,testamentary [civil] sim=0.648,extortionate [criminal] sim=0.636,
declared,申報選舉開支,civil,0.5714,pledged [civil] sim=0.768,constitute [constitutional] sim=0.729,pledge [civil] sim=0.722,ratification [international] sim=0.706,enfranchise [constitutional] sim=0.674,unleased [civil] sim=0.673,mortgaged [civil] sim=0.671,
dedicated,專用,civil,0.5714,pledged [civil] sim=0.771,pledge [civil] sim=0.702,mortgaged [civil] sim=0.700,leased [civil] sim=0.693,franchised [constitutional] sim=0.671,covenant [international] sim=0.667,Covenant [international] sim=0.667,
dedication,撥出私人地方供公眾使用的契據,civil,0.5714,pledge [civil] sim=0.789,pledged [civil] sim=0.751,approbation [criminal] sim=0.700,pledgee [civil] sim=0.689,Covenant [international] sim=0.685,covenant [international] sim=0.685,attestation [civil] sim=0.664,
deface,塗污,civil,0.5714,distort [civil] sim=0.771,distorted [civil] sim=0.707,forgery [criminal] sim=0.699,distortion [civil] sim=0.693,criminalise [criminal] sim=0.682,extortionate [criminal] sim=0.676,trespass [civil] sim=0.668,
defaced,遺失、遭污損或遭損毀,civil,0.5714,distorted [civil] sim=0.764,trespass on the case [civil] sim=0.715,theft [criminal] sim=0.710,forgery [criminal] sim=0.708,distort [civil] sim=0.691,trespasser [civil] sim=0.689,manslaughter [criminal] sim=0.686,
Defaulter Report,違紀者報告,civil,0.5714,Minor Offences Report [criminal] sim=0.631,joinder of issue [procedure] sim=0.605,radical breach of contract [civil] sim=0.605,probationer [criminal] sim=0.599,trespasser [civil] sim=0.595,guarantor [civil] sim=0.595,tortfeasor [civil] sim=0.586,
definite,限定期間,civil,0.5714,pledged [civil] sim=0.657,murder [criminal] sim=0.641,pledge [civil] sim=0.636,conviction [criminal] sim=0.633,surety [civil] sim=0.630,testamentary [civil] sim=0.630,homicide [criminal] sim=0.629,
deleterious,有害的物質,civil,0.5714,distort [civil] sim=0.695,distorted [civil] sim=0.686,distortion [civil] sim=0.685,recklessness [criminal] sim=0.684,inadmissible [procedure] sim=0.682,nuisance [civil] sim=0.681,extortionate [criminal] sim=0.672,
demonstrate,行使示威的憲法權利,civil,0.5714,constitute [constitutional] sim=0.719,testate [civil] sim=0.671,patent [civil] sim=0.669,admissible evidence [procedure] sim=0.665,pleading [procedure] sim=0.664,pledge [civil] sim=0.661,patently [civil] sim=0.660,
denominate,以港元作為單位,civil,0.5714,intestate [civil] sim=0.714,extortionate [criminal] sim=0.694,constitute [constitutional] sim=0.681,inchoate [criminal] sim=0.670,distort [civil] sim=0.664,testate [civil] sim=0.663,die intestate [civil] sim=0.650,
depredation,掠奪行為,civil,0.5714,harassment [labor_social] sim=0.749,nuisance [civil] sim=0.721,trespasser [civil] sim=0.693,extortion [criminal] sim=0.677,trespass [civil] sim=0.676,trespass on the case [civil] sim=0.675,theft [criminal] sim=0.672,
derecognize,被撤銷確認,civil,0.5714,distort [civil] sim=0.691,disenfranchise [constitutional] sim=0.682,criminalise [criminal] sim=0.675,nuisance [civil] sim=0.656,unleased [civil] sim=0.639,underlease [civil] sim=0.638,reconstitute [constitutional] sim=0.634,
deregistration,撤銷註冊,civil,0.5714,disenfranchise [constitutional] sim=0.733,rescission [civil] sim=0.685,unleased land [civil] sim=0.676,restitution [civil] sim=0.676,unleased [civil] sim=0.675,reconciliation [procedure] sim=0.669,eminent domain [administrative] sim=0.664,
describe,更具體地劃定和描述,civil,0.5714,disclosure [procedure] sim=0.657,distort [civil] sim=0.641,patent [civil] sim=0.631,distortion [civil] sim=0.631,constitute [constitutional] sim=0.629,distorted [civil] sim=0.623,discovery [procedure] sim=0.621,
desirous,希望,civil,0.5714,pledged [civil] sim=0.700,gratification [international] sim=0.685,patently [civil] sim=0.682,recklessness [criminal] sim=0.671,extortionate [criminal] sim=0.668,tortious [civil] sim=0.663,de son tort [civil] sim=0.663,
destine,以……為目的地,civil,0.5714,distort [civil] sim=0.675,de son tort [civil] sim=0.659,Covenant [international] sim=0.650,covenant [international] sim=0.650,testate [civil] sim=0.647,intestate [civil] sim=0.644,reconstitute [constitutional] sim=0.642,
differ,在要項上有所分別,civil,0.5714,distort [civil] sim=0.700,innovation [civil] sim=0.676,underlease [civil] sim=0.655,equality [constitutional] sim=0.650,distorted [civil] sim=0.643,mispleading [procedure] sim=0.626,extortionate [criminal] sim=0.624,
differential,有差異的待遇,civil,0.5714,distorted [civil] sim=0.717,distortion [civil] sim=0.706,distort [civil] sim=0.699,stratification [international] sim=0.656,penalty [criminal] sim=0.649,underlease [civil] sim=0.647,conventional [international] sim=0.644,
disable,使……成為傷殘,civil,0.5714,distort [civil] sim=0.697,disenfranchise [constitutional] sim=0.685,inadmissible [procedure] sim=0.680,distorted [civil] sim=0.668,freedom [constitutional] sim=0.663,distortion [civil] sim=0.659,unleased [civil] sim=0.648,
disapply,使……不適用,civil,0.5714,distort [civil] sim=0.717,mispleading [procedure] sim=0.713,distorted [civil] sim=0.689,extortionate [criminal] sim=0.686,underlease [civil] sim=0.679,inadmissible [procedure] sim=0.676,misrepresentation [civil] sim=0.667,
discomfort,不安,civil,0.5714,torture [civil] sim=0.726,distortion [civil] sim=0.695,nuisance [civil] sim=0.694,gratification [international] sim=0.688,harassment [labor_social] sim=0.677,distorted [civil] sim=0.669,labouring [labor_social] sim=0.669,
discount,三分一刑期減免,civil,0.5714,indemnity [civil] sim=0.666,underlease [civil] sim=0.661,penalty [criminal] sim=0.645,valuable consideration [civil] sim=0.641,accessory [criminal] sim=0.639,sublease [civil] sim=0.636,freedom [constitutional] sim=0.632,
discounting,不可撤銷的再貼現融通,civil,0.5714,gratification [international] sim=0.703,valuable consideration [civil] sim=0.696,underlease [civil] sim=0.661,past consideration [civil] sim=0.660,penalty [criminal] sim=0.652,indemnity [civil] sim=0.639,mispleading [procedure] sim=0.638,
disparage,貶低,civil,0.5714,distort [civil] sim=0.771,misrepresentation [civil] sim=0.719,disenfranchise [constitutional] sim=0.713,mispleading [procedure] sim=0.699,defamation [civil] sim=0.695,reprobation [criminal] sim=0.693,nuisance [civil] sim=0.692,
dispense,免除,civil,0.5714,accessory [criminal] sim=0.667,underlease [civil] sim=0.659,distort [civil] sim=0.653,patent [civil] sim=0.652,extortionate [criminal] sim=0.646,unleased [civil] sim=0.646,extortion [criminal] sim=0.645,
displace,推翻推定,civil,0.5714,distort [civil] sim=0.730,mispleading [procedure] sim=0.725,disenfranchise [constitutional] sim=0.695,underlease [civil] sim=0.694,extortionate [criminal] sim=0.674,nuisance [civil] sim=0.666,subrogation [civil] sim=0.666,
displacement,將人遷離土地,civil,0.5714,mispleading [procedure] sim=0.722,refugee [international] sim=0.711,nuisance [civil] sim=0.708,distorted [civil] sim=0.700,distortion [civil] sim=0.694,restitution [civil] sim=0.693,asylum [international] sim=0.689,
dispose,處置……檔案,civil,0.5714,unleased [civil] sim=0.721,dismissal [labor_social] sim=0.691,unleased land [civil] sim=0.653,disenfranchise [constitutional] sim=0.650,reconstitute [constitutional] sim=0.645,underlease [civil] sim=0.644,executory [civil] sim=0.638,
disposer,處置者,civil,0.5714,executor [civil] sim=0.666,unleased [civil] sim=0.658,executory [civil] sim=0.650,recidivist [criminal] sim=0.647,landlord [civil] sim=0.639,manslaughter [criminal] sim=0.632,battery [criminal] sim=0.625,
dispossession,剝奪管有權,civil,0.5714,eminent domain [administrative] sim=0.751,theft [criminal] sim=0.709,extortion [criminal] sim=0.706,restitution [civil] sim=0.704,trespass [civil] sim=0.699,intestate [civil] sim=0.685,inheritance [civil] sim=0.682,
disproportionate,不相稱的懲罰,civil,0.5714,extortionate [criminal] sim=0.705,distorted [civil] sim=0.696,distort [civil] sim=0.691,misrepresentation [civil] sim=0.689,distortion [civil] sim=0.680,mispleading [procedure] sim=0.679,inchoate [criminal] sim=0.652,
disproportionately,遠少於,civil,0.5714,extortionate [criminal] sim=0.648,distorted [civil] sim=0.642,distortion [civil] sim=0.633,distort [civil] sim=0.631,mispleading [procedure] sim=0.627,misrepresentation [civil] sim=0.627,criminally [criminal] sim=0.620,
disrepute,損及……的聲譽,civil,0.5714,distort [civil] sim=0.735,disenfranchise [constitutional] sim=0.713,extortionate [criminal] sim=0.710,distorted [civil] sim=0.704,mispleading [procedure] sim=0.702,succession [civil] sim=0.694,intestate [civil] sim=0.686,
disrupt,令……無法繼續進行,civil,0.5714,distort [civil] sim=0.735,mispleading [procedure] sim=0.707,distortion [civil] sim=0.699,distorted [civil] sim=0.680,innovation [civil] sim=0.678,harassment [labor_social] sim=0.669,mediation [procedure] sim=0.650,
disseminate,散發,civil,0.5714,distort [civil] sim=0.690,mispleading [procedure] sim=0.662,patented [civil] sim=0.657,constitute [constitutional] sim=0.656,innovation [civil] sim=0.652,disenfranchise [constitutional] sim=0.651,patent [civil] sim=0.649,
dissociate,說明……與……無涉,civil,0.5714,distort [civil] sim=0.752,reconstitute [constitutional] sim=0.725,disenfranchise [constitutional] sim=0.687,distorted [civil] sim=0.686,unleased [civil] sim=0.655,mispleading [procedure] sim=0.653,divorcement [civil] sim=0.637,
distrained,遭扣押的財物,civil,0.5714,distort [civil] sim=0.726,distorted [civil] sim=0.718,penalty [criminal] sim=0.679,disenfranchise [constitutional] sim=0.679,mortgaged [civil] sim=0.676,extortionate [criminal] sim=0.672,unleased [civil] sim=0.671,
distribute,分發,civil,0.5714,underlease [civil] sim=0.676,constitute [constitutional] sim=0.675,inheritance [civil] sim=0.674,beneficiary [civil] sim=0.666,extortionate [criminal] sim=0.656,intestate [civil] sim=0.649,criminalise [criminal] sim=0.649,
donee,獲授權人,civil,0.5714,pledgee [civil] sim=0.677,die intestate [civil] sim=0.635,testate [civil] sim=0.634,recidivist [criminal] sim=0.631,mortgaged [civil] sim=0.623,recidivism [criminal] sim=0.622,manslaughter [criminal] sim=0.620,
downgrade,下調,civil,0.5714,underlease [civil] sim=0.673,repledge [civil] sim=0.651,disenfranchise [constitutional] sim=0.644,mispleading [procedure] sim=0.636,distort [civil] sim=0.634,reprobation [criminal] sim=0.631,distortion [civil] sim=0.620,
drawdown,潛在提取,civil,0.5714,unleased [civil] sim=0.679,underlease [civil] sim=0.662,dismissal [labor_social] sim=0.657,penalty [criminal] sim=0.657,martial law [constitutional] sim=0.650,rescission [civil] sim=0.641,unleased land [civil] sim=0.636,
drawn,支取,civil,0.5714,mortgaged [civil] sim=0.695,distorted [civil] sim=0.691,unleased [civil] sim=0.684,accused [criminal] sim=0.676,pledged [civil] sim=0.669,summons [procedure] sim=0.669,labour [labor_social] sim=0.653,
duces tecum,着令攜帶文件出庭,civil,0.5714,subpoena duces tecum [procedure] sim=0.790,de bonis testatoris ac si [civil] sim=0.625,res judicata [procedure] sim=0.608,testatum clause [civil] sim=0.608,trespass quare clausum fregit [civil] sim=0.605,ad damnum pleadings [procedure] sim=0.605,intestate [civil] sim=0.593,
due course,在……的適當階段,civil,0.5714,succession [civil] sim=0.672,accession [international] sim=0.659,valuable consideration [civil] sim=0.651,prerogative [constitutional] sim=0.650,pledged [civil] sim=0.646,mens rea [criminal] sim=0.644,sympathetic consideration [civil] sim=0.636,
earlier,在先的管有權,civil,0.5714,overtime [labor_social] sim=0.682,past consideration [civil] sim=0.629,accessory [criminal] sim=0.625,succession [civil] sim=0.620,underlease [civil] sim=0.617,distorted [civil] sim=0.617,first instance [procedure] sim=0.614,
easily,容易到達,civil,0.5714,patentable [civil] sim=0.673,patently [civil] sim=0.658,tenantable [civil] sim=0.651,criminally [criminal] sim=0.638,contractually [civil] sim=0.635,inadmissible [procedure] sim=0.616,freedom [constitutional] sim=0.616,
effectually,有效,civil,0.5714,patently [civil] sim=0.703,contractually [civil] sim=0.696,criminally [criminal] sim=0.689,criminalise [criminal] sim=0.649,admissible [procedure] sim=0.645,patentable [civil] sim=0.641,tenantable [civil] sim=0.637,
emission,放射,civil,0.5714,distortion [civil] sim=0.660,nuisance [civil] sim=0.655,patent [civil] sim=0.642,battery [criminal] sim=0.639,Paris Convention [international] sim=0.624,distorted [civil] sim=0.620,hearsay [procedure] sim=0.619,
encompass,涵蓋,civil,0.5714,discovery [procedure] sim=0.669,constitute [constitutional] sim=0.662,intestate [civil] sim=0.654,trespass [civil] sim=0.653,disclosure [procedure] sim=0.652,inheritance [civil] sim=0.644,easement [civil] sim=0.642,
encrypt,經編碼處理,civil,0.5714,blackmail [criminal] sim=0.699,extortionate [criminal] sim=0.675,repledge [civil] sim=0.669,distort [civil] sim=0.668,surety [civil] sim=0.661,pledge [civil] sim=0.656,larceny [criminal] sim=0.645,
encumbrancer,產權負擔人,civil,0.5714,tortfeasor [civil] sim=0.677,accessory [criminal] sim=0.669,larceny [criminal] sim=0.663,executor [civil] sim=0.661,appurtenant [civil] sim=0.659,employee [labor_social] sim=0.659,surety [civil] sim=0.654,
enforceability,可執行性,civil,0.5714,patentability [civil] sim=0.739,admissibility [procedure] sim=0.716,tenantable [civil] sim=0.708,admissible [procedure] sim=0.700,patentable [civil] sim=0.676,ratification [international] sim=0.661,suretyship [civil] sim=0.661,
engineering,認可工程標準,civil,0.5714,innovation [civil] sim=0.711,laboratory [labor_social] sim=0.689,occupational safety [labor_social] sim=0.676,employment [labor_social] sim=0.670,patent [civil] sim=0.651,patented [civil] sim=0.644,copyright [civil] sim=0.640,
enrolled,登記護士,civil,0.5714,pledged [civil] sim=0.701,mortgaged [civil] sim=0.700,leased [civil] sim=0.679,constitute [constitutional] sim=0.676,accession [international] sim=0.676,beneficiary [civil] sim=0.675,accused [criminal] sim=0.662,
entail,引起,civil,0.5714,intestate [civil] sim=0.660,interlocutory [procedure] sim=0.649,extortionate [criminal] sim=0.647,prerogative [constitutional] sim=0.647,patent [civil] sim=0.647,tortious [civil] sim=0.646,distort [civil] sim=0.646,
entirety,全數,civil,0.5714,intestate [civil] sim=0.693,constitute [constitutional] sim=0.668,unconstitutional [constitutional] sim=0.653,reconciliation [procedure] sim=0.649,distortion [civil] sim=0.648,inheritance [civil] sim=0.648,distorted [civil] sim=0.645,
enumerate,……所列舉的,civil,0.5714,extortionate [criminal] sim=0.603,executory [civil] sim=0.598,testate [civil] sim=0.593,intestate [civil] sim=0.592,patent [civil] sim=0.592,stratification [international] sim=0.589,constitute [constitutional] sim=0.589,
erasure,刪除,civil,0.5714,distort [civil] sim=0.718,distortion [civil] sim=0.715,reconciliation [procedure] sim=0.706,reconstitute [constitutional] sim=0.704,distorted [civil] sim=0.698,mispleading [procedure] sim=0.685,restitution [civil] sim=0.678,
