en,zh,k_en,k_zh,k_min,assigned_domain,confidence,vote_breakdown
Lex posterior derogat priori.,後法廢除前法,0,0,0,criminal,0.7143,"{""criminal"": 5, ""procedure"": 2}"
lex rei sitae,物所在地法,0,0,0,civil,0.2857,"{""administrative"": 1, ""procedure"": 1, ""criminal"": 1, ""civil"": 2, ""constitutional"": 1, ""international"": 1}"
Lex reprobat moram.,法律不容許延誤,0,0,0,criminal,0.2857,"{""administrative"": 1, ""criminal"": 2, ""civil"": 1, ""constitutional"": 2, ""procedure"": 1}"
lex scripta,成文法,0,8,0,procedure,0.4286,"{""procedure"": 3, ""civil"": 1, ""constitutional"": 1, ""administrative"": 1, ""criminal"": 1}"
lex situs,財產所在地法,0,0,0,procedure,0.2857,"{""procedure"": 2, ""international"": 1, ""criminal"": 2, ""civil"": 1, ""constitutional"": 1}"
lex terrae,當地法律,0,8,0,civil,0.2857,"{""civil"": 2, ""constitutional"": 2, ""procedure"": 2, ""administrative"": 1}"
Lex uno ore omnes alloquitur.,法律對所有的人說同樣的話,0,0,0,procedure,0.5714,"{""procedure"": 4, ""criminal"": 2, ""constitutional"": 1}"
lexical definition,詞匯定義,0,0,0,civil,0.7143,"{""civil"": 5, ""criminal"": 2}"
liability,債務,8,8,8,civil,0.4286,"{""civil"": 3, ""criminal"": 2, ""labor_social"": 2}"
liable,可遭受……,8,0,0,criminal,0.7143,"{""criminal"": 5, ""civil"": 2}"
libel,永久形式誹謗,8,8,8,criminal,0.8571,"{""criminal"": 6, ""labor_social"": 1}"
licensed,持牌,8,8,8,administrative,0.5714,"{""administrative"": 4, ""civil"": 1, ""procedure"": 2}"
licensee,持牌人,8,8,8,civil,0.5714,"{""civil"": 4, ""administrative"": 2, ""constitutional"": 1}"
lien,海上留置權,8,2,2,civil,0.8571,"{""civil"": 6, ""labor_social"": 1}"
life,壽命,8,8,8,constitutional,0.2857,"{""constitutional"": 2, ""civil"": 1, ""labor_social"": 2, ""criminal"": 2}"
light bus,小型巴士,8,8,8,labor_social,0.4286,"{""administrative"": 1, ""labor_social"": 3, ""international"": 1, ""civil"": 2}"
limit of stay,逗留期限,8,8,8,labor_social,0.4286,"{""procedure"": 1, ""labor_social"": 3, ""criminal"": 2, ""civil"": 1}"
limitation,限制,8,8,8,procedure,0.2857,"{""procedure"": 2, ""criminal"": 2, ""international"": 1, ""labor_social"": 1, ""administrative"": 1}"
limited,有限,8,8,8,civil,0.4286,"{""procedure"": 1, ""civil"": 3, ""international"": 2, ""administrative"": 1}"
lineal,世襲,3,3,3,civil,0.5714,"{""civil"": 4, ""international"": 2, ""administrative"": 1}"
liquidate,了結,5,8,5,civil,0.5714,"{""labor_social"": 2, ""civil"": 4, ""procedure"": 1}"
liquidated,定額,8,8,8,civil,0.7143,"{""civil"": 5, ""criminal"": 2}"
liquidation,進行清盤,8,8,8,civil,0.5714,"{""civil"": 4, ""labor_social"": 1, ""criminal"": 2}"
liquidator,清盤人,8,8,8,civil,0.7143,"{""civil"": 5, ""international"": 1, ""constitutional"": 1}"
lis,案,8,8,8,constitutional,0.2857,"{""constitutional"": 2, ""administrative"": 2, ""international"": 1, ""labor_social"": 2}"
lis pendens,待決案件,8,8,8,procedure,0.4286,"{""constitutional"": 1, ""procedure"": 3, ""criminal"": 1, ""administrative"": 1, ""civil"": 1}"
list,清單,8,8,8,labor_social,0.2857,"{""labor_social"": 2, ""international"": 1, ""civil"": 1, ""constitutional"": 2, ""administrative"": 1}"
listed,上市公司,8,8,8,procedure,0.2857,"{""procedure"": 2, ""labor_social"": 1, ""civil"": 1, ""constitutional"": 2, ""international"": 1}"
listing,買殼上市,8,0,0,labor_social,0.2857,"{""labor_social"": 2, ""administrative"": 2, ""constitutional"": 1, ""civil"": 2}"
litem,訴訟,8,8,8,labor_social,0.5714,"{""labor_social"": 4, ""procedure"": 1, ""civil"": 2}"
literal,字面,1,5,1,criminal,0.7143,"{""criminal"": 5, ""constitutional"": 1, ""labor_social"": 1}"
litigant,訴訟人,8,8,8,criminal,0.4286,"{""criminal"": 3, ""procedure"": 2, ""labor_social"": 1, ""civil"": 1}"
litigation,訴訟,8,8,8,procedure,0.5714,"{""procedure"": 4, ""administrative"": 2, ""international"": 1}"
litteratim,逐字,0,8,0,procedure,0.4286,"{""administrative"": 1, ""criminal"": 1, ""civil"": 1, ""constitutional"": 1, ""procedure"": 3}"
loan,貸款,8,8,8,civil,0.4286,"{""civil"": 3, ""labor_social"": 3, ""criminal"": 1}"
loco citato; loc. cit.,在上述引文中,0,0,0,criminal,0.8571,"{""labor_social"": 1, ""criminal"": 6}"
locomotion,活動能力,0,2,0,labor_social,0.2857,"{""labor_social"": 2, ""administrative"": 2, ""international"": 2, ""constitutional"": 1}"
locus,地點,0,8,0,civil,0.5714,"{""civil"": 4, ""international"": 1, ""constitutional"": 1, ""administrative"": 1}"
locus actus,行事之地,0,0,0,criminal,0.5714,"{""constitutional"": 1, ""criminal"": 4, ""civil"": 1, ""labor_social"": 1}"
locus in quo,事發地,0,0,0,procedure,0.4286,"{""constitutional"": 1, ""administrative"": 2, ""criminal"": 1, ""procedure"": 3}"
locus poenitentiae,反悔［如在拍賣中撤回出價、合約義務形成前取消合約、正式達成協議前退出交易等的機會］,0,0,0,civil,0.2857,"{""civil"": 2, ""procedure"": 1, ""constitutional"": 1, ""criminal"": 2, ""administrative"": 1}"
locus sigilli; L.S.,印章位置,0,1,0,civil,0.5714,"{""procedure"": 2, ""civil"": 4, ""constitutional"": 1}"
lodge,提交,8,8,8,civil,0.2857,"{""international"": 1, ""procedure"": 1, ""constitutional"": 1, ""administrative"": 1, ""labor_social"": 1, ""civil"": 2}"
logomachy,詞義上的爭執,0,0,0,administrative,0.5714,"{""procedure"": 1, ""administrative"": 4, ""international"": 1, ""constitutional"": 1}"
Lord Chancellor,大法官,0,8,0,constitutional,0.4286,"{""constitutional"": 3, ""administrative"": 2, ""civil"": 2}"
"Lordships, their/your",對高等法院及以上級別法院法官的敬稱,0,0,0,civil,0.7143,"{""procedure"": 1, ""civil"": 5, ""constitutional"": 1}"
loss,喪失,8,8,8,criminal,0.2857,"{""criminal"": 2, ""international"": 2, ""labor_social"": 1, ""civil"": 1, ""procedure"": 1}"
lowest offer,索價最低的要約,0,0,0,civil,0.4286,"{""civil"": 3, ""labor_social"": 3, ""international"": 1}"
lowest price offered,最低出價,0,0,0,civil,0.4286,"{""civil"": 3, ""labor_social"": 3, ""international"": 1}"
lowest tender,索價最低的投標,0,0,0,labor_social,0.4286,"{""civil"": 1, ""labor_social"": 3, ""criminal"": 1, ""procedure"": 1, ""international"": 1}"
Lucas-Box meaning,盧卡斯博斯涵義,0,0,0,administrative,0.2857,"{""constitutional"": 1, ""administrative"": 2, ""civil"": 1, ""procedure"": 1, ""international"": 1, ""labor_social"": 1}"
lucid interval,神志清醒時刻,0,0,0,labor_social,0.4286,"{""labor_social"": 3, ""criminal"": 1, ""procedure"": 1, ""administrative"": 2}"
lucrative,有利可圖,0,2,0,labor_social,0.5714,"{""labor_social"": 4, ""civil"": 1, ""criminal"": 1, ""international"": 1}"
lump sum,以一整筆款項,8,0,0,labor_social,0.7143,"{""labor_social"": 5, ""civil"": 2}"
lunatic,精神病人,8,8,8,criminal,0.8571,"{""criminal"": 6, ""administrative"": 1}"
lynch,處以私刑,0,0,0,criminal,0.4286,"{""administrative"": 1, ""labor_social"": 1, ""procedure"": 1, ""criminal"": 3, ""international"": 1}"
magistrate,受薪裁判官,8,0,0,constitutional,0.4286,"{""procedure"": 1, ""constitutional"": 3, ""criminal"": 3}"
Magna Charta,大憲章,0,0,0,constitutional,0.4286,"{""international"": 1, ""civil"": 1, ""procedure"": 2, ""constitutional"": 3}"
main,主要,8,8,8,labor_social,0.5714,"{""labor_social"": 4, ""constitutional"": 2, ""administrative"": 1}"
maintenance,保養,8,8,8,administrative,0.4286,"{""administrative"": 3, ""labor_social"": 3, ""civil"": 1}"
Major continet in se minus.,多數包含少數,0,0,0,criminal,0.5714,"{""criminal"": 4, ""labor_social"": 1, ""administrative"": 1, ""procedure"": 1}"
majority,大多數,8,8,8,constitutional,0.8571,"{""constitutional"": 6, ""civil"": 1}"
make good,修復,8,8,8,administrative,0.4286,"{""procedure"": 1, ""administrative"": 3, ""labor_social"": 2, ""constitutional"": 1}"
make oath and say,宣誓,0,8,0,procedure,0.2857,"{""administrative"": 1, ""international"": 1, ""constitutional"": 1, ""civil"": 1, ""procedure"": 2, ""criminal"": 1}"
make provision for ...,為……做好準備,0,0,0,civil,0.2857,"{""civil"": 2, ""administrative"": 2, ""international"": 1, ""labor_social"": 2}"
mala fide,不真誠,3,8,3,criminal,0.5714,"{""procedure"": 2, ""criminal"": 4, ""civil"": 1}"
maleficent,作惡,0,0,0,criminal,0.4286,"{""labor_social"": 2, ""criminal"": 3, ""constitutional"": 2}"
malevolent,含有惡意,0,0,0,criminal,0.5714,"{""procedure"": 2, ""civil"": 1, ""criminal"": 4}"
malfeasance,公職人員的不當行為,0,0,0,criminal,0.8571,"{""criminal"": 6, ""civil"": 1}"
malicious,惡意,8,8,8,criminal,1.0,"{""criminal"": 7}"
malum in se,本質上邪惡,0,0,0,administrative,0.2857,"{""administrative"": 2, ""international"": 2, ""procedure"": 1, ""constitutional"": 1, ""criminal"": 1}"
malum prohibitum,法律禁止,0,8,0,criminal,0.5714,"{""criminal"": 4, ""administrative"": 2, ""civil"": 1}"
management,管理,8,8,8,labor_social,0.4286,"{""labor_social"": 3, ""constitutional"": 1, ""administrative"": 3}"
mandate,上級法院給予下級法院的指示,8,0,0,civil,0.4286,"{""civil"": 3, ""administrative"": 3, ""procedure"": 1}"
mandatory,屬執行性質的強制令,8,0,0,administrative,0.5714,"{""administrative"": 4, ""civil"": 2, ""criminal"": 1}"
manifest,運貨單,8,5,5,procedure,0.4286,"{""criminal"": 2, ""administrative"": 1, ""procedure"": 3, ""civil"": 1}"
manning,人手配置,8,8,8,criminal,0.4286,"{""criminal"": 3, ""administrative"": 1, ""labor_social"": 1, ""civil"": 2}"
Mareva relief,馬雷瓦濟助,0,0,0,international,0.4286,"{""civil"": 1, ""administrative"": 1, ""labor_social"": 2, ""international"": 3}"
margin of appreciation,酌情判斷餘地概念,0,0,0,labor_social,0.5714,"{""civil"": 3, ""labor_social"": 4}"
marginal note,旁註,2,2,2,procedure,0.4286,"{""procedure"": 3, ""international"": 1, ""labor_social"": 1, ""criminal"": 2}"
marine,海上,8,8,8,international,0.8571,"{""international"": 6, ""labor_social"": 1}"
marital rights,在婚姻中的權利,0,0,0,civil,0.4286,"{""civil"": 3, ""labor_social"": 2, ""procedure"": 2}"
maritime,海上,8,8,8,international,0.7143,"{""international"": 5, ""labor_social"": 2}"
mark,標記,8,8,8,procedure,0.2857,"{""procedure"": 2, ""civil"": 2, ""constitutional"": 2, ""criminal"": 1}"
market,市場,8,8,8,labor_social,0.5714,"{""international"": 1, ""civil"": 2, ""labor_social"": 4}"
Market Misconduct Tribunal,市場失當行為審裁處,8,8,8,criminal,0.2857,"{""criminal"": 2, ""procedure"": 2, ""constitutional"": 2, ""civil"": 1}"
marketable,可買賣,8,2,2,procedure,0.5714,"{""labor_social"": 2, ""procedure"": 4, ""civil"": 1}"
marshall,執行官,4,4,4,constitutional,0.4286,"{""constitutional"": 3, ""labor_social"": 1, ""administrative"": 1, ""civil"": 1, ""international"": 1}"
Martin order,馬丁命令,0,0,0,constitutional,0.2857,"{""international"": 1, ""constitutional"": 2, ""procedure"": 1, ""labor_social"": 1, ""administrative"": 1, ""civil"": 1}"
Mary Major,某女與訟人,0,0,0,international,0.5714,"{""international"": 4, ""labor_social"": 1, ""constitutional"": 1, ""civil"": 1}"
master,主人,8,8,8,labor_social,0.5714,"{""labor_social"": 4, ""constitutional"": 1, ""civil"": 1, ""procedure"": 1}"
Master of the Rolls,上訴法院民事法庭庭長,0,0,0,civil,0.4286,"{""civil"": 3, ""labor_social"": 3, ""constitutional"": 1}"
master policy,總保單,4,3,3,administrative,0.5714,"{""administrative"": 4, ""international"": 1, ""procedure"": 2}"
master policy of insurance,總保險單,2,3,2,international,0.4286,"{""labor_social"": 2, ""civil"": 1, ""international"": 3, ""procedure"": 1}"
material,在任何具關鍵性的方面,8,0,0,civil,0.4286,"{""international"": 1, ""civil"": 3, ""procedure"": 1, ""constitutional"": 1, ""labor_social"": 1}"
matrimonial,婚姻,8,8,8,civil,0.4286,"{""civil"": 3, ""labor_social"": 1, ""international"": 3}"
matter,事宜,8,8,8,civil,0.4286,"{""civil"": 3, ""labor_social"": 2, ""criminal"": 1, ""international"": 1}"
maturity,到期,8,8,8,labor_social,0.2857,"{""labor_social"": 2, ""criminal"": 2, ""administrative"": 2, ""civil"": 1}"
McKenzie friend McKenzie,朋友,0,8,0,civil,0.4286,"{""civil"": 3, ""constitutional"": 1, ""international"": 2, ""labor_social"": 1}"
means test,財務資源審查,0,0,0,procedure,0.5714,"{""procedure"": 4, ""constitutional"": 2, ""administrative"": 1}"
mediate,調停,2,8,2,procedure,0.7143,"{""procedure"": 5, ""administrative"": 2}"
mediator,認可調解員,8,0,0,procedure,0.5714,"{""international"": 2, ""procedure"": 4, ""civil"": 1}"
medical opinion,醫學意見,2,4,2,procedure,0.5714,"{""labor_social"": 1, ""procedure"": 4, ""constitutional"": 1, ""administrative"": 1}"
meeting,會議,8,8,8,constitutional,0.4286,"{""constitutional"": 3, ""international"": 3, ""administrative"": 1}"
memorandum,備忘錄,8,8,8,procedure,0.4286,"{""procedure"": 3, ""civil"": 1, ""international"": 2, ""criminal"": 1}"
memorial,提要,8,8,8,procedure,0.2857,"{""criminal"": 1, ""procedure"": 2, ""civil"": 1, ""constitutional"": 1, ""international"": 1, ""labor_social"": 1}"
mental,精神上,8,8,8,criminal,0.7143,"{""labor_social"": 1, ""criminal"": 5, ""constitutional"": 1}"
mentally,精神上,8,8,8,criminal,0.2857,"{""constitutional"": 1, ""criminal"": 2, ""labor_social"": 2, ""administrative"": 1, ""procedure"": 1}"
merchantable,可買賣,0,2,0,procedure,0.4286,"{""labor_social"": 2, ""civil"": 2, ""procedure"": 3}"
mercy killing,人道毀滅,0,1,0,criminal,0.8571,"{""criminal"": 6, ""international"": 1}"
mere representation,純粹陳述,0,0,0,civil,0.4286,"{""constitutional"": 2, ""civil"": 3, ""criminal"": 2}"
merger,多元化大企業的合併,8,0,0,civil,0.5714,"{""international"": 2, ""civil"": 4, ""constitutional"": 1}"
merits,缺乏充分理據,8,2,2,labor_social,0.2857,"{""labor_social"": 2, ""constitutional"": 1, ""civil"": 2, ""criminal"": 2}"
Mesher order,梅薩爾命令,0,0,0,constitutional,0.2857,"{""civil"": 1, ""constitutional"": 2, ""international"": 1, ""procedure"": 2, ""administrative"": 1}"
mesne,中間,6,8,6,civil,0.4286,"{""international"": 2, ""administrative"": 1, ""civil"": 3, ""constitutional"": 1}"
messuage,宅院,4,8,4,constitutional,0.4286,"{""international"": 2, ""constitutional"": 3, ""administrative"": 1, ""procedure"": 1}"
metes and bounds,分界標誌,0,0,0,procedure,0.2857,"{""international"": 1, ""procedure"": 2, ""administrative"": 2, ""constitutional"": 1, ""labor_social"": 1}"
mineral rights,採礦權,1,0,0,civil,0.5714,"{""civil"": 4, ""procedure"": 2, ""constitutional"": 1}"
minimum subscription,最低認購額,1,1,1,labor_social,0.5714,"{""administrative"": 2, ""procedure"": 1, ""labor_social"": 4}"
minor,未成年人,8,8,8,labor_social,0.4286,"{""criminal"": 2, ""labor_social"": 3, ""international"": 1, ""civil"": 1}"
minority,少數,8,8,8,civil,0.4286,"{""constitutional"": 2, ""civil"": 3, ""criminal"": 1, ""labor_social"": 1}"
minutiae,瑣事,0,0,0,criminal,0.5714,"{""criminal"": 4, ""international"": 1, ""administrative"": 1, ""procedure"": 1}"
misappropriate,挪用,0,5,0,civil,0.4286,"{""civil"": 3, ""criminal"": 3, ""labor_social"": 1}"
misbehaviour,行為不檢,8,8,8,criminal,0.8571,"{""criminal"": 6, ""administrative"": 1}"
miscellaneous proceedings,雜項法律程序,0,0,0,procedure,0.7143,"{""procedure"": 5, ""international"": 1, ""criminal"": 1}"
miscellaneous provisions,雜項條文,8,8,8,administrative,0.5714,"{""civil"": 1, ""administrative"": 4, ""international"": 2}"
mischief,不明確的條文,3,0,0,criminal,1.0,"{""criminal"": 7}"
misconduct,公職人員行為失當,8,0,0,criminal,1.0,"{""criminal"": 7}"
misdescription,錯誤描述,4,1,1,criminal,0.4286,"{""civil"": 1, ""criminal"": 3, ""procedure"": 2, ""administrative"": 1}"
misfeasance,不法行為,8,0,0,criminal,0.8571,"{""civil"": 1, ""criminal"": 6}"
misleading,具誤導性,8,8,8,criminal,0.5714,"{""criminal"": 4, ""civil"": 1, ""procedure"": 1, ""labor_social"": 1}"
misnomer,誤稱,6,2,2,criminal,0.4286,"{""civil"": 2, ""criminal"": 3, ""procedure"": 2}"
missing person,失蹤者,8,4,4,criminal,0.4286,"{""criminal"": 3, ""labor_social"": 3, ""administrative"": 1}"
misstatement,錯誤陳述,6,8,6,procedure,0.4286,"{""civil"": 1, ""procedure"": 3, ""criminal"": 3}"
mistake,共同錯誤,8,0,0,criminal,0.8571,"{""criminal"": 6, ""administrative"": 1}"
mistrial,審判失誤,0,0,0,criminal,0.8571,"{""criminal"": 6, ""procedure"": 1}"
misuse,不當使用,8,8,8,criminal,0.7143,"{""civil"": 2, ""criminal"": 5}"
mitigate,寬減,8,8,8,procedure,0.2857,"{""procedure"": 2, ""criminal"": 2, ""international"": 1, ""administrative"": 2}"
mixed,兼有,8,8,8,labor_social,0.4286,"{""procedure"": 1, ""labor_social"": 3, ""international"": 2, ""constitutional"": 1}"
mock trial,模擬審訊,0,0,0,procedure,0.5714,"{""procedure"": 4, ""administrative"": 1, ""criminal"": 2}"
mode of trial,審訊的方式,8,3,3,criminal,0.4286,"{""criminal"": 3, ""administrative"": 1, ""procedure"": 3}"
modification,修改,8,8,8,administrative,0.4286,"{""administrative"": 3, ""criminal"": 2, ""procedure"": 1, ""constitutional"": 1}"
modus operandi,作案手法,0,0,0,international,0.2857,"{""criminal"": 1, ""international"": 2, ""administrative"": 2, ""procedure"": 1, ""civil"": 1}"
moiety,均分部分,0,0,0,civil,0.8571,"{""civil"": 6, ""criminal"": 1}"
molestation,騷擾,1,8,1,criminal,0.8571,"{""criminal"": 6, ""labor_social"": 1}"
monetary,金錢上,8,8,8,labor_social,0.8571,"{""labor_social"": 6, ""administrative"": 1}"
money,款項,8,8,8,labor_social,0.5714,"{""labor_social"": 4, ""criminal"": 1, ""international"": 1, ""constitutional"": 1}"
monogamous marriage,一夫一妻制婚姻推定,1,0,0,civil,0.4286,"{""civil"": 3, ""constitutional"": 1, ""international"": 1, ""procedure"": 2}"
monogamy,一夫一妻制,0,1,0,civil,0.5714,"{""civil"": 4, ""constitutional"": 2, ""criminal"": 1}"
monopoly,壟斷,0,0,0,civil,0.5714,"{""civil"": 4, ""international"": 1, ""constitutional"": 1, ""criminal"": 1}"
monstrans de droit,權利聲明,1,1,1,civil,0.7143,"{""procedure"": 1, ""civil"": 5, ""labor_social"": 1}"
moot,在大律師學院舉行的法律辯論,0,0,0,procedure,0.7143,"{""procedure"": 5, ""constitutional"": 1, ""criminal"": 1}"
moral depravity,卑劣行為,0,3,0,criminal,1.0,"{""criminal"": 7}"
moratorium,暫停,1,8,1,criminal,0.5714,"{""criminal"": 4, ""administrative"": 3}"
moribund,行將廢止,0,0,0,criminal,0.7143,"{""criminal"": 5, ""international"": 1, ""civil"": 1}"
mortuum vadium,死質押﹝質押人如不履行償債承諾，即喪失抵押物的贖回權的一種質押﹞,0,0,0,civil,0.4286,"{""criminal"": 2, ""constitutional"": 2, ""civil"": 3}"
most-favoured-nation treatment,最惠國待遇,0,0,0,international,0.5714,"{""international"": 4, ""civil"": 2, ""administrative"": 1}"
motion,意願,8,8,8,labor_social,0.2857,"{""labor_social"": 2, ""criminal"": 2, ""administrative"": 1, ""constitutional"": 2}"
movable property,動產,8,8,8,civil,1.0,"{""civil"": 7}"
multinational enterprise group,跨國企業集團,5,8,5,constitutional,0.2857,"{""constitutional"": 2, ""international"": 2, ""labor_social"": 2, ""civil"": 1}"
multiple,多重,8,5,5,labor_social,0.4286,"{""international"": 2, ""labor_social"": 3, ""civil"": 1, ""procedure"": 1}"
multiplicity,繁多,1,5,1,international,0.4286,"{""international"": 3, ""procedure"": 3, ""civil"": 1}"
multital,對物,0,8,0,labor_social,0.4286,"{""international"": 2, ""constitutional"": 1, ""labor_social"": 3, ""criminal"": 1}"
multi-track procedure,多途徑的法律程序,0,0,0,procedure,0.4286,"{""administrative"": 2, ""international"": 2, ""procedure"": 3}"
muniments of title,業權證明書,0,4,0,civil,0.7143,"{""civil"": 5, ""constitutional"": 2}"
mutatis mutandis,在細節上經適當的修改後,8,0,0,criminal,0.4286,"{""constitutional"": 2, ""criminal"": 3, ""civil"": 2}"
mutual,相互,8,8,8,international,0.5714,"{""international"": 4, ""civil"": 2, ""procedure"": 1}"
my Lord,對高等法院及以上級別法院法官的敬稱,0,0,0,procedure,0.5714,"{""procedure"": 4, ""civil"": 1, ""criminal"": 1, ""constitutional"": 1}"
naked,不附義務或代價,8,0,0,criminal,0.5714,"{""criminal"": 4, ""constitutional"": 2, ""procedure"": 1}"
name,別名,8,8,8,administrative,0.4286,"{""civil"": 2, ""administrative"": 3, ""labor_social"": 2}"
national,公民,8,8,8,international,0.4286,"{""international"": 3, ""labor_social"": 2, ""constitutional"": 2}"
nationality,國籍,8,8,8,labor_social,0.5714,"{""international"": 2, ""constitutional"": 1, ""labor_social"": 4}"
native,土著,2,0,0,constitutional,0.4286,"{""international"": 2, ""labor_social"": 2, ""constitutional"": 3}"
natural,天然,8,8,8,labor_social,0.2857,"{""labor_social"": 2, ""criminal"": 2, ""procedure"": 1, ""international"": 1, ""civil"": 1}"
navigation,航行,8,8,8,administrative,0.4286,"{""administrative"": 3, ""procedure"": 1, ""labor_social"": 2, ""constitutional"": 1}"
near resemblance,極為相似,1,8,1,international,0.4286,"{""international"": 3, ""procedure"": 2, ""civil"": 1, ""constitutional"": 1}"
necessaries,基本生活所需,4,0,0,administrative,0.5714,"{""administrative"": 4, ""labor_social"": 1, ""civil"": 2}"
necessary,必要,8,8,8,civil,0.2857,"{""administrative"": 1, ""civil"": 2, ""labor_social"": 2, ""procedure"": 1, ""criminal"": 1}"
Necessitas non habet legem.,情勢緊急，法律暫且不顧,0,0,0,civil,0.4286,"{""civil"": 3, ""administrative"": 3, ""procedure"": 1}"
necessity,必要性,8,1,1,civil,0.5714,"{""administrative"": 2, ""civil"": 4, ""labor_social"": 1}"
negative,否定,8,8,8,criminal,0.5714,"{""criminal"": 4, ""procedure"": 1, ""labor_social"": 1, ""constitutional"": 1}"
neglect,疏於履行責任,8,0,0,labor_social,0.5714,"{""labor_social"": 4, ""civil"": 2, ""administrative"": 1}"
negotiation,商議,8,8,8,international,0.4286,"{""procedure"": 2, ""international"": 3, ""civil"": 1, ""labor_social"": 1}"
neighbour principle,"""鄰近者""原則",0,0,0,constitutional,0.4286,"{""international"": 2, ""civil"": 2, ""constitutional"": 3}"
neighbouring premises,鄰近處所,3,0,0,civil,0.4286,"{""civil"": 3, ""international"": 2, ""labor_social"": 1, ""administrative"": 1}"
nemine contradicente; nem con,一致同意,0,7,0,criminal,0.5714,"{""criminal"": 4, ""procedure"": 3}"
Nemo dat quod non habet.,不能付出自己沒有的東西,0,0,0,criminal,0.5714,"{""criminal"": 4, ""administrative"": 2, ""international"": 1}"
Nemo est supra leges.,無人可凌駕於法律之上,0,0,0,international,0.4286,"{""international"": 3, ""labor_social"": 1, ""procedure"": 2, ""constitutional"": 1}"
net,淨值,8,8,8,administrative,0.2857,"{""administrative"": 2, ""procedure"": 1, ""constitutional"": 1, ""civil"": 1, ""labor_social"": 2}"
neutral,無利害關係,8,2,2,procedure,0.2857,"{""procedure"": 2, ""criminal"": 1, ""civil"": 2, ""constitutional"": 2}"
next friend,訴訟保護人,8,2,2,civil,0.4286,"{""civil"": 3, ""procedure"": 3, ""international"": 1}"
nexus,結合,2,8,2,civil,0.2857,"{""civil"": 2, ""procedure"": 1, ""labor_social"": 1, ""international"": 2, ""administrative"": 1}"
niche,骨殖龕位,8,2,2,civil,0.4286,"{""international"": 1, ""civil"": 3, ""constitutional"": 1, ""labor_social"": 1, ""administrative"": 1}"
nihil ad rem,不相干,0,8,0,criminal,0.7143,"{""criminal"": 5, ""procedure"": 1, ""civil"": 1}"
nihil debet,並無虧欠,0,0,0,criminal,1.0,"{""criminal"": 7}"
nihil dicit; nil dicit,不答辯,0,0,0,criminal,0.8571,"{""criminal"": 6, ""international"": 1}"
noble and learned friend,法庭上對對方大律師的敬稱,0,0,0,international,0.2857,"{""civil"": 1, ""constitutional"": 1, ""international"": 2, ""procedure"": 1, ""labor_social"": 1, ""criminal"": 1}"
no-gain-no-loss interest rate,無損益利率,0,0,0,civil,0.5714,"{""civil"": 4, ""labor_social"": 2, ""international"": 1}"
noisome,有害,1,8,1,international,0.2857,"{""international"": 2, ""constitutional"": 1, ""criminal"": 2, ""civil"": 2}"
nolens volens,不論願意與否,0,0,0,administrative,0.2857,"{""administrative"": 2, ""international"": 2, ""civil"": 2, ""constitutional"": 1}"
nominal,名義股本,8,0,0,civil,0.7143,"{""civil"": 5, ""procedure"": 1, ""labor_social"": 1}"
nominate,指定分包商,8,0,0,constitutional,0.7143,"{""constitutional"": 5, ""procedure"": 2}"
nominee shareholder,代名人股東,1,0,0,constitutional,0.5714,"{""constitutional"": 4, ""civil"": 3}"
nomography,法律草擬學,0,0,0,procedure,0.5714,"{""procedure"": 4, ""administrative"": 2, ""constitutional"": 1}"
nomology,法律學,0,3,0,constitutional,0.5714,"{""international"": 3, ""constitutional"": 4}"
non compos mentis,精神不健全,0,8,0,criminal,0.5714,"{""administrative"": 1, ""procedure"": 1, ""international"": 1, ""criminal"": 4}"
non est inventus; n.e.i.,找不到要拘捕的人,0,0,0,criminal,0.8571,"{""criminal"": 6, ""administrative"": 1}"
non liquet; n.l.,不明確,0,3,0,criminal,0.4286,"{""international"": 2, ""administrative"": 1, ""criminal"": 3, ""constitutional"": 1}"
Non obligat lex nisi promulgata.,未經公布的法律不具約束力,0,0,0,administrative,0.4286,"{""administrative"": 3, ""procedure"": 1, ""criminal"": 2, ""civil"": 1}"
non obstante veredicto,與陪審團裁決不同,0,0,0,criminal,0.4286,"{""administrative"": 1, ""procedure"": 2, ""criminal"": 3, ""civil"": 1}"
non placet,不批准,0,8,0,criminal,0.4286,"{""international"": 1, ""administrative"": 1, ""criminal"": 3, ""labor_social"": 1, ""civil"": 1}"
non-accountable,非實報實銷,0,0,0,criminal,0.5714,"{""administrative"": 1, ""criminal"": 4, ""civil"": 2}"
non-admission,未承認的部分,8,0,0,administrative,0.4286,"{""administrative"": 3, ""procedure"": 2, ""criminal"": 2}"
nonage,未成年,0,8,0,labor_social,0.2857,"{""labor_social"": 2, ""administrative"": 1, ""international"": 1, ""civil"": 2, ""criminal"": 1}"
nonagium,遺產中的第九份,0,0,0,international,0.4286,"{""international"": 3, ""administrative"": 1, ""criminal"": 1, ""procedure"": 2}"
non-claim,沒有在時限內提出申索,0,0,0,administrative,0.2857,"{""procedure"": 1, ""administrative"": 2, ""international"": 1, ""labor_social"": 2, ""civil"": 1}"
non-completion,不完成,0,1,0,criminal,0.2857,"{""administrative"": 1, ""criminal"": 2, ""procedure"": 1, ""international"": 1, ""civil"": 1, ""constitutional"": 1}"
non-compliance,不符合,8,8,8,administrative,0.7143,"{""administrative"": 5, ""criminal"": 2}"
non-conformity,不一致,0,8,0,administrative,0.4286,"{""administrative"": 3, ""criminal"": 2, ""civil"": 1, ""international"": 1}"
